Spacecraft: FINCHSat

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
01 Jun 2020 12:53:21.956    01 Jun 2020 12:53:31.681      9.7254479653    Earth           Penumbra    1             2058.7402317
01 Jun 2020 12:53:31.681    01 Jun 2020 13:27:31.032      2039.3508478    Earth           Umbra       1             2058.7402317
01 Jun 2020 13:27:31.032    01 Jun 2020 13:27:40.696      9.6639359021    Earth           Penumbra    1             2058.7402317
01 Jun 2020 14:27:13.703    01 Jun 2020 14:27:23.426      9.7229129635    Earth           Penumbra    2             2058.9136177
01 Jun 2020 14:27:23.426    01 Jun 2020 15:01:22.956      2039.5307585    Earth           Umbra       2             2058.9136177
01 Jun 2020 15:01:22.956    01 Jun 2020 15:01:32.616      9.6599462209    Earth           Penumbra    2             2058.9136177
01 Jun 2020 16:01:05.340    01 Jun 2020 16:01:15.060      9.7199146519    Earth           Penumbra    3             2059.0943031
01 Jun 2020 16:01:15.060    01 Jun 2020 16:35:14.779      2039.7191193    Earth           Umbra       3             2059.0943031
01 Jun 2020 16:35:14.779    01 Jun 2020 16:35:24.434      9.6552691190    Earth           Penumbra    3             2059.0943031
01 Jun 2020 17:34:56.908    01 Jun 2020 17:35:06.625      9.7168358741    Earth           Penumbra    4             2059.3029245
01 Jun 2020 17:35:06.625    01 Jun 2020 18:09:06.561      2039.9357833    Earth           Umbra       4             2059.3029245
01 Jun 2020 18:09:06.561    01 Jun 2020 18:09:16.211      9.6503053559    Earth           Penumbra    4             2059.3029245
01 Jun 2020 19:08:48.440    01 Jun 2020 19:08:58.154      9.7139032558    Earth           Penumbra    5             2059.5441476
01 Jun 2020 19:08:58.154    01 Jun 2020 19:42:58.339      2040.1847814    Earth           Umbra       5             2059.5441476
01 Jun 2020 19:42:58.339    01 Jun 2020 19:43:07.984      9.6454629209    Earth           Penumbra    5             2059.5441476
01 Jun 2020 20:42:39.920    01 Jun 2020 20:42:49.631      9.7109668655    Earth           Penumbra    6             2059.8075373
01 Jun 2020 20:42:49.631    01 Jun 2020 21:16:50.086      2040.4558603    Earth           Umbra       6             2059.8075373
01 Jun 2020 21:16:50.086    01 Jun 2020 21:16:59.727      9.6407100675    Earth           Penumbra    6             2059.8075373
01 Jun 2020 22:16:31.336    01 Jun 2020 22:16:41.043      9.7076598904    Earth           Penumbra    7             2060.0807561
01 Jun 2020 22:16:41.043    01 Jun 2020 22:50:41.781      2040.7374558    Earth           Umbra       7             2060.0807561
01 Jun 2020 22:50:41.781    01 Jun 2020 22:50:51.416      9.6356403781    Earth           Penumbra    7             2060.0807561
01 Jun 2020 23:50:22.716    01 Jun 2020 23:50:32.420      9.7037547617    Earth           Penumbra    8             2060.3566033
01 Jun 2020 23:50:32.420    02 Jun 2020 00:24:33.443      2041.0229558    Earth           Umbra       8             2060.3566033
02 Jun 2020 00:24:33.443    02 Jun 2020 00:24:43.073      9.6298926976    Earth           Penumbra    8             2060.3566033
02 Jun 2020 01:24:14.088    02 Jun 2020 01:24:23.787      9.6993655781    Earth           Penumbra    9             2060.6358244
02 Jun 2020 01:24:23.787    02 Jun 2020 01:58:25.100      2041.3129298    Earth           Umbra       9             2060.6358244
02 Jun 2020 01:58:25.100    02 Jun 2020 01:58:34.723      9.6235289471    Earth           Penumbra    9             2060.6358244
02 Jun 2020 02:58:05.418    02 Jun 2020 02:58:15.113      9.6947673708    Earth           Penumbra    10            2060.9257560
02 Jun 2020 02:58:15.113    02 Jun 2020 03:32:16.727      2041.6140264    Earth           Umbra       10            2060.9257560
02 Jun 2020 03:32:16.727    02 Jun 2020 03:32:26.344      9.6169621451    Earth           Penumbra    10            2060.9257560
02 Jun 2020 04:31:56.636    02 Jun 2020 04:32:06.326      9.6900129458    Earth           Penumbra    11            2061.2311267
02 Jun 2020 04:32:06.326    02 Jun 2020 05:06:08.257      2041.9306370    Earth           Umbra       11            2061.2311267
02 Jun 2020 05:06:08.257    02 Jun 2020 05:06:17.867      9.6104767523    Earth           Penumbra    11            2061.2311267
02 Jun 2020 06:05:47.697    02 Jun 2020 06:05:57.382      9.6849155962    Earth           Penumbra    12            2061.5504599
02 Jun 2020 06:05:57.382    02 Jun 2020 06:39:59.644      2042.2616096    Earth           Umbra       12            2061.5504599
02 Jun 2020 06:39:59.644    02 Jun 2020 06:40:09.247      9.6039347816    Earth           Penumbra    12            2061.5504599
02 Jun 2020 07:39:38.627    02 Jun 2020 07:39:48.307      9.6794618061    Earth           Penumbra    13            2061.8870120
02 Jun 2020 07:39:48.307    02 Jun 2020 08:13:50.917      2042.6104242    Earth           Umbra       13            2061.8870120
02 Jun 2020 08:13:50.917    02 Jun 2020 08:14:00.514      9.5971259521    Earth           Penumbra    13            2061.8870120
02 Jun 2020 09:13:29.507    02 Jun 2020 09:13:39.181      9.6739602392    Earth           Penumbra    14            2062.2519944
02 Jun 2020 09:13:39.181    02 Jun 2020 09:47:42.169      2042.9878406    Earth           Umbra       14            2062.2519944
02 Jun 2020 09:47:42.169    02 Jun 2020 09:47:51.759      9.5901935943    Earth           Penumbra    14            2062.2519944
02 Jun 2020 10:47:20.397    02 Jun 2020 10:47:30.066      9.6686035744    Earth           Penumbra    15            2062.6461041
02 Jun 2020 10:47:30.066    02 Jun 2020 11:21:33.460      2043.3940928    Earth           Umbra       15            2062.6461041
02 Jun 2020 11:21:33.460    02 Jun 2020 11:21:43.043      9.5834077103    Earth           Penumbra    15            2062.6461041
02 Jun 2020 12:21:11.276    02 Jun 2020 12:21:20.940      9.6631318680    Earth           Penumbra    16            2063.0497220
02 Jun 2020 12:21:20.940    02 Jun 2020 12:55:24.750      2043.8099557    Earth           Umbra       16            2063.0497220
02 Jun 2020 12:55:24.750    02 Jun 2020 12:55:34.326      9.5766343991    Earth           Penumbra    16            2063.0497220
02 Jun 2020 13:55:02.071    02 Jun 2020 13:55:11.728      9.6571635338    Earth           Penumbra    17            2063.4453982
02 Jun 2020 13:55:11.728    02 Jun 2020 14:29:15.947      2044.2188287    Earth           Umbra       17            2063.4453982
02 Jun 2020 14:29:15.947    02 Jun 2020 14:29:25.516      9.5694059506    Earth           Penumbra    17            2063.4453982
02 Jun 2020 15:28:52.749    02 Jun 2020 15:29:02.400      9.6507095732    Earth           Penumbra    18            2063.8409490
02 Jun 2020 15:29:02.400    02 Jun 2020 16:03:07.028      2044.6287107    Earth           Umbra       18            2063.8409490
02 Jun 2020 16:03:07.028    02 Jun 2020 16:03:16.590      9.5615287428    Earth           Penumbra    18            2063.8409490
02 Jun 2020 17:02:52.993    02 Jun 2020 17:36:58.054      2045.0605414    Earth           Umbra       19            2054.6138566
02 Jun 2020 17:36:58.054    02 Jun 2020 17:37:07.607      9.5533152111    Earth           Penumbra    19            2054.6138566
02 Jun 2020 18:36:33.910    02 Jun 2020 18:36:43.548      9.6377457026    Earth           Penumbra    20            2064.7059718
02 Jun 2020 18:36:43.548    02 Jun 2020 19:10:49.071      2045.5230587    Earth           Umbra       20            2064.7059718
02 Jun 2020 19:10:49.071    02 Jun 2020 19:10:58.616      9.5451673726    Earth           Penumbra    20            2064.7059718
02 Jun 2020 20:10:24.420    02 Jun 2020 20:10:34.051      9.6313863527    Earth           Penumbra    21            2065.1769251
02 Jun 2020 20:10:34.051    02 Jun 2020 20:44:40.060      2046.0084111    Earth           Umbra       21            2065.1769251
02 Jun 2020 20:44:40.060    02 Jun 2020 20:44:49.597      9.5371276606    Earth           Penumbra    21            2065.1769251
02 Jun 2020 21:44:14.860    02 Jun 2020 21:44:24.485      9.6247067093    Earth           Penumbra    22            2065.6575480
02 Jun 2020 21:44:24.485    02 Jun 2020 22:18:30.989      2046.5039645    Earth           Umbra       22            2065.6575480
02 Jun 2020 22:18:30.989    02 Jun 2020 22:18:40.518      9.5288767247    Earth           Penumbra    22            2065.6575480
02 Jun 2020 23:18:05.253    02 Jun 2020 23:18:14.871      9.6174628590    Earth           Penumbra    23            2066.1382610
02 Jun 2020 23:18:14.871    02 Jun 2020 23:52:21.872      2047.0007259    Earth           Umbra       23            2066.1382610
02 Jun 2020 23:52:21.872    02 Jun 2020 23:52:31.392      9.5200722688    Earth           Penumbra    23            2066.1382610
03 Jun 2020 00:51:55.630    03 Jun 2020 00:52:05.240      9.6097490983    Earth           Penumbra    24            2066.6179780
03 Jun 2020 00:52:05.240    03 Jun 2020 01:26:12.737      2047.4975309    Earth           Umbra       24            2066.6179780
03 Jun 2020 01:26:12.737    03 Jun 2020 01:26:22.248      9.5106979483    Earth           Penumbra    24            2066.6179780
03 Jun 2020 02:25:45.968    03 Jun 2020 02:25:55.570      9.6018505166    Earth           Penumbra    25            2067.1046103
03 Jun 2020 02:25:55.570    03 Jun 2020 03:00:03.572      2048.0016625    Earth           Umbra       25            2067.1046103
03 Jun 2020 03:00:03.572    03 Jun 2020 03:00:13.073      9.5010973164    Earth           Penumbra    25            2067.1046103
03 Jun 2020 03:59:36.200    03 Jun 2020 03:59:45.794      9.5938683255    Earth           Penumbra    26            2067.6055675
03 Jun 2020 03:59:45.794    03 Jun 2020 04:33:54.314      2048.5200985    Earth           Umbra       26            2067.6055675
03 Jun 2020 04:33:54.314    03 Jun 2020 04:34:03.806      9.4916007249    Earth           Penumbra    26            2067.6055675
