Target: FINCHSat

Observer: TorontoCOMMS
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
04 Jun 2020 18:36:55.910    04 Jun 2020 18:37:15.271      19.361013849    
06 Jun 2020 12:32:31.775    06 Jun 2020 12:32:38.842      7.0661665988    
07 Jun 2020 11:57:18.916    07 Jun 2020 11:57:31.405      12.488759647    
12 Jun 2020 15:30:18.874    12 Jun 2020 15:30:40.336      21.462127729    
14 Jun 2020 09:22:57.095    14 Jun 2020 09:23:17.364      20.269869373    
19 Jun 2020 12:48:24.337    19 Jun 2020 12:48:45.342      21.004559426    
21 Jun 2020 06:38:29.847    21 Jun 2020 06:38:49.325      19.477106561    
25 Jun 2020 10:35:31.613    25 Jun 2020 10:35:40.957      9.3438263051    
27 Jun 2020 04:23:18.479    27 Jun 2020 04:23:37.969      19.489881524    
01 Jul 2020 08:14:50.150    01 Jul 2020 08:15:06.010      15.859155706    
03 Jul 2020 02:00:20.276    03 Jul 2020 02:00:38.651      18.374384847    
07 Jul 2020 05:46:03.866    07 Jul 2020 05:46:13.222      9.3559675966    
08 Jul 2020 00:11:00.154    08 Jul 2020 00:11:16.417      16.262819781    
12 Jul 2020 03:51:22.459    12 Jul 2020 03:51:36.842      14.382635162    
12 Jul 2020 22:15:19.811    12 Jul 2020 22:15:35.341      15.530274657    
17 Jul 2020 20:12:53.588    17 Jul 2020 20:13:13.066      19.478417281    
21 Jul 2020 00:27:20.467    21 Jul 2020 00:27:39.784      19.316717482    
01 Aug 2020 19:50:21.629    01 Aug 2020 19:50:36.481      14.852427109    
05 Aug 2020 18:07:15.843    05 Aug 2020 18:07:28.212      12.369176396    
06 Aug 2020 12:24:57.801    06 Aug 2020 12:25:16.364      18.563621084    
26 Aug 2020 09:55:48.429    26 Aug 2020 09:56:06.545      18.116018025    


Number of events : 21


Observer: TorontoImaging
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
03 Jun 2020 19:11:15.643    03 Jun 2020 19:12:09.661      54.018658481    
04 Jun 2020 18:36:29.811    04 Jun 2020 18:37:41.427      71.616039018    
05 Jun 2020 13:07:12.822    05 Jun 2020 13:07:56.009      43.187182769    
05 Jun 2020 18:01:42.209    05 Jun 2020 18:02:50.053      67.844400415    
