Target: FINCH

Observer: NapaneeImaging
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jun 2024 03:22:05.661    01 Jun 2024 03:22:38.079      32.418058044    
02 Jun 2024 03:12:52.591    02 Jun 2024 03:14:13.102      80.510552670    
02 Jun 2024 16:20:20.569    02 Jun 2024 16:21:16.740      56.171390531    
03 Jun 2024 03:04:01.410    03 Jun 2024 03:05:25.947      84.536556154    
03 Jun 2024 16:11:14.575    03 Jun 2024 16:12:47.279      92.704516277    
04 Jun 2024 02:55:26.433    04 Jun 2024 02:56:22.329      55.895823415    
04 Jun 2024 16:02:23.768    04 Jun 2024 16:03:59.807      96.038870676    
05 Jun 2024 15:53:46.295    05 Jun 2024 15:54:56.187      69.892182131    
12 Jun 2024 03:18:39.968    12 Jun 2024 03:19:44.520      64.551929652    
13 Jun 2024 03:09:30.399    13 Jun 2024 03:11:00.449      90.050004423    
13 Jun 2024 16:16:58.623    13 Jun 2024 16:18:13.935      75.311739463    
14 Jun 2024 03:00:36.472    14 Jun 2024 03:02:00.677      84.205733857    
14 Jun 2024 16:07:51.393    14 Jun 2024 16:09:28.715      97.322138585    
15 Jun 2024 02:52:04.401    15 Jun 2024 02:52:39.012      34.610806976    
15 Jun 2024 15:58:57.045    15 Jun 2024 16:00:27.847      90.801372682    
16 Jun 2024 15:50:21.986    16 Jun 2024 15:51:04.928      42.941738327    
22 Jun 2024 03:23:27.202    22 Jun 2024 03:23:55.695      28.492483066    
23 Jun 2024 03:13:54.164    23 Jun 2024 03:15:21.019      86.854891561    
23 Jun 2024 16:21:38.398    23 Jun 2024 16:22:16.490      38.092016405    
24 Jun 2024 03:04:46.164    24 Jun 2024 03:06:21.307      95.143150329    
24 Jun 2024 16:12:10.298    24 Jun 2024 16:13:38.208      87.909959326    
25 Jun 2024 02:55:53.023    25 Jun 2024 02:57:06.745      73.721852317    
25 Jun 2024 16:03:02.364    25 Jun 2024 16:04:36.938      94.573979708    
26 Jun 2024 15:54:08.421    26 Jun 2024 15:55:18.853      70.431529311    
03 Jul 2024 03:17:12.654    03 Jul 2024 03:18:30.720      78.065959713    
04 Jul 2024 03:07:51.789    04 Jul 2024 03:09:29.604      97.815241548    
04 Jul 2024 16:15:17.823    04 Jul 2024 16:16:30.512      72.689432348    
05 Jul 2024 02:58:45.814    05 Jul 2024 03:00:13.555      87.740831170    
05 Jul 2024 16:05:56.817    05 Jul 2024 16:07:27.636      90.819061745    
06 Jul 2024 02:50:06.363    06 Jul 2024 02:50:30.933      24.570291443    
06 Jul 2024 15:56:50.124    06 Jul 2024 15:58:07.514      77.389354992    
13 Jul 2024 03:19:20.513    13 Jul 2024 03:20:26.849      66.335993854    
14 Jul 2024 03:09:47.130    14 Jul 2024 03:11:22.805      95.674845041    
14 Jul 2024 16:17:07.903    14 Jul 2024 16:18:04.744      56.840614986    
15 Jul 2024 03:00:30.382    15 Jul 2024 03:02:01.973      91.590447561    
15 Jul 2024 16:07:33.953    15 Jul 2024 16:08:58.995      85.042424337    
16 Jul 2024 02:51:33.618    16 Jul 2024 02:52:20.996      47.377893480    
16 Jul 2024 15:58:16.490    16 Jul 2024 15:59:33.715      77.225500520    
23 Jul 2024 03:20:08.454    23 Jul 2024 03:21:04.392      55.938083294    
24 Jul 2024 03:10:23.595    24 Jul 2024 03:11:55.095      91.500164091    
24 Jul 2024 16:17:32.355    24 Jul 2024 16:18:20.353      47.998832515    
25 Jul 2024 03:00:57.501    25 Jul 2024 03:02:26.773      89.271709824    
25 Jul 2024 16:07:47.488    25 Jul 2024 16:09:08.775      81.287344813    
26 Jul 2024 02:51:52.018    26 Jul 2024 02:52:37.579      45.560638199    
26 Jul 2024 15:58:21.094    26 Jul 2024 15:59:35.585      74.491590459    
02 Aug 2024 03:19:26.673    02 Aug 2024 03:20:19.752      53.079224518    
03 Aug 2024 03:09:33.523    03 Aug 2024 03:11:01.191      87.668103492    
03 Aug 2024 16:16:25.024    03 Aug 2024 16:17:17.685      52.661326714    
04 Aug 2024 03:00:00.039    04 Aug 2024 03:01:22.686      82.646885316    
04 Aug 2024 16:06:33.891    04 Aug 2024 16:07:55.242      81.351038895    
05 Aug 2024 02:50:55.063    05 Aug 2024 02:51:15.392      20.328419900    
05 Aug 2024 15:57:01.057    05 Aug 2024 15:58:11.326      70.268683182    
12 Aug 2024 03:17:10.528    12 Aug 2024 03:18:10.589      60.060118872    
13 Aug 2024 03:07:13.388    13 Aug 2024 03:08:38.353      84.964716551    
13 Aug 2024 16:13:47.822    13 Aug 2024 16:14:54.542      66.719853482    
14 Aug 2024 02:57:35.514    14 Aug 2024 02:58:46.618      71.104381979    
14 Aug 2024 16:03:53.932    14 Aug 2024 16:05:17.737      83.805275545    
15 Aug 2024 15:54:17.972    15 Aug 2024 15:55:19.827      61.854619801    
22 Aug 2024 03:13:22.540    22 Aug 2024 03:14:34.105      71.564666333    
22 Aug 2024 16:20:08.730    22 Aug 2024 16:20:30.532      21.801469708    
23 Aug 2024 03:03:24.396    23 Aug 2024 03:04:45.739      81.342815305    
23 Aug 2024 16:09:46.418    23 Aug 2024 16:11:08.377      81.958685594    
24 Aug 2024 02:53:47.869    24 Aug 2024 02:54:35.593      47.723312862    
24 Aug 2024 15:59:51.437    24 Aug 2024 16:01:15.683      84.245736909    
25 Aug 2024 15:50:19.487    25 Aug 2024 15:50:56.743      37.255341641    
31 Aug 2024 03:18:27.287    31 Aug 2024 03:19:11.759      44.471619325    
01 Sep 2024 03:08:07.625    01 Sep 2024 03:09:28.499      80.874494067    
01 Sep 2024 16:14:35.934    01 Sep 2024 16:15:47.242      71.308342915    
02 Sep 2024 02:58:11.052    02 Sep 2024 02:59:22.043      70.990932710    
02 Sep 2024 16:04:24.829    02 Sep 2024 16:05:56.723      91.894596547    
03 Sep 2024 15:54:30.976    03 Sep 2024 15:55:45.642      74.666279275    
10 Sep 2024 03:11:41.888    10 Sep 2024 03:12:58.532      76.644187665    
10 Sep 2024 16:18:20.096    10 Sep 2024 16:19:14.130      54.034616263    
11 Sep 2024 03:01:29.934    11 Sep 2024 03:02:51.085      81.151362159    
11 Sep 2024 16:07:52.427    11 Sep 2024 16:09:25.291      92.864668672    
12 Sep 2024 02:51:44.042    12 Sep 2024 02:52:17.467      33.424648026    
12 Sep 2024 15:57:44.318    12 Sep 2024 15:59:13.410      89.092052530    
13 Sep 2024 15:48:04.712    13 Sep 2024 15:48:29.519      24.807287869    
19 Sep 2024 03:14:02.566    19 Sep 2024 03:15:15.629      73.063270468    
19 Sep 2024 16:20:54.137    19 Sep 2024 16:21:24.459      30.321511882    
20 Sep 2024 03:03:37.296    20 Sep 2024 03:05:04.427      87.131038285    
20 Sep 2024 16:10:07.375    20 Sep 2024 16:11:38.047      90.672095446    
21 Sep 2024 02:53:33.457    21 Sep 2024 02:54:31.560      58.103317476    
21 Sep 2024 15:59:46.909    21 Sep 2024 16:01:21.554      94.645725447    
22 Sep 2024 15:49:46.981    22 Sep 2024 15:50:40.706      53.725209623    
28 Sep 2024 03:15:01.355    28 Sep 2024 03:16:14.905      73.550217762    
29 Sep 2024 03:04:24.634    29 Sep 2024 03:05:56.274      91.640357394    
29 Sep 2024 16:10:58.696    29 Sep 2024 16:12:26.691      87.995323038    
30 Sep 2024 02:54:08.595    30 Sep 2024 02:55:16.505      67.909746571    
30 Sep 2024 16:00:26.814    30 Sep 2024 16:02:01.699      94.885905006    
01 Oct 2024 15:50:15.141    01 Oct 2024 15:51:12.270      57.128990698    
07 Oct 2024 03:14:26.153    07 Oct 2024 03:15:45.557      79.403906339    
08 Oct 2024 03:03:39.847    08 Oct 2024 03:05:14.691      94.843965420    
08 Oct 2024 16:10:11.418    08 Oct 2024 16:11:38.379      86.961102323    
09 Oct 2024 02:53:14.377    09 Oct 2024 02:54:22.202      67.825156404    
09 Oct 2024 15:59:29.069    09 Oct 2024 16:01:00.011      90.942440112    
10 Oct 2024 15:49:10.851    10 Oct 2024 15:49:52.803      41.951870243    
16 Oct 2024 03:12:02.094    16 Oct 2024 03:13:30.510      88.415570394    
16 Oct 2024 16:18:44.296    16 Oct 2024 16:19:24.160      39.863737521    
17 Oct 2024 03:01:07.843    17 Oct 2024 03:02:42.299      94.455756526    
17 Oct 2024 16:07:28.633    17 Oct 2024 16:08:56.312      87.679185206    
18 Oct 2024 02:50:37.521    18 Oct 2024 02:51:29.034      51.513433247    
18 Oct 2024 15:56:37.707    18 Oct 2024 15:57:58.598      80.891630554    
24 Oct 2024 03:18:58.635    24 Oct 2024 03:19:56.218      57.583384356    
25 Oct 2024 03:07:34.962    25 Oct 2024 03:09:10.332      95.370718371    
25 Oct 2024 16:13:53.846    25 Oct 2024 16:14:59.673      65.827572439    
26 Oct 2024 02:56:35.145    26 Oct 2024 02:57:59.265      84.119986359    
26 Oct 2024 16:02:36.556    26 Oct 2024 16:04:02.501      85.945052211    
