Target: FINCH

Observer: TorontoGS
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jun 2020 01:44:21.791    01 Jun 2020 01:53:25.602      543.81080229    
01 Jun 2020 03:16:51.214    01 Jun 2020 03:28:55.040      723.82601509    
01 Jun 2020 04:54:17.927    01 Jun 2020 05:01:57.051      459.12375944    
01 Jun 2020 14:51:53.704    01 Jun 2020 15:01:25.225      571.52090709    
01 Jun 2020 16:25:40.491    01 Jun 2020 16:37:34.551      714.06037925    
01 Jun 2020 18:01:44.301    01 Jun 2020 18:08:56.751      432.44982603    
02 Jun 2020 01:38:23.441    02 Jun 2020 01:46:58.293      514.85204359    
02 Jun 2020 03:10:33.176    02 Jun 2020 03:22:37.051      723.87551788    
02 Jun 2020 04:47:33.190    02 Jun 2020 04:55:55.374      502.18452812    
02 Jun 2020 14:45:46.660    02 Jun 2020 14:54:46.844      540.18360567    
02 Jun 2020 16:19:21.126    02 Jun 2020 16:31:18.462      717.33570661    
02 Jun 2020 17:55:13.073    02 Jun 2020 18:03:02.903      469.82940068    
03 Jun 2020 01:32:26.511    03 Jun 2020 01:40:28.894      482.38289041    
03 Jun 2020 03:04:15.585    03 Jun 2020 03:16:17.841      722.25592830    
03 Jun 2020 04:40:51.260    03 Jun 2020 04:49:50.200      538.93993943    
03 Jun 2020 14:39:41.048    03 Jun 2020 14:48:04.832      503.78400616    
03 Jun 2020 16:13:01.530    03 Jun 2020 16:25:00.506      718.97606245    
03 Jun 2020 17:48:42.887    03 Jun 2020 17:57:05.842      502.95512656    
04 Jun 2020 01:26:31.360    04 Jun 2020 01:33:57.065      445.70532613    
04 Jun 2020 02:57:58.444    04 Jun 2020 03:09:57.420      718.97544198    
04 Jun 2020 04:34:11.505    04 Jun 2020 04:43:42.158      570.65298847    
04 Jun 2020 14:33:37.505    04 Jun 2020 14:41:18.541      461.03574175    
04 Jun 2020 16:06:41.718    04 Jun 2020 16:18:40.674      718.95570889    
04 Jun 2020 17:42:13.387    04 Jun 2020 17:51:05.934      532.54676380    
05 Jun 2020 01:20:38.525    05 Jun 2020 01:27:22.282      403.75697503    
05 Jun 2020 02:51:41.760    05 Jun 2020 03:03:35.791      714.03080035    
05 Jun 2020 04:27:33.500    05 Jun 2020 04:37:31.665      598.16508559    
05 Jun 2020 14:27:37.063    05 Jun 2020 14:34:26.916      409.85251347    
05 Jun 2020 16:00:21.709    05 Jun 2020 16:12:18.946      717.23696884    
05 Jun 2020 17:35:44.330    05 Jun 2020 17:45:03.429      559.09871380    
06 Jun 2020 01:14:48.896    06 Jun 2020 01:20:43.673      354.77736744    
06 Jun 2020 02:45:25.545    06 Jun 2020 02:57:12.953      707.40753519    
06 Jun 2020 04:20:56.945    06 Jun 2020 04:31:19.014      622.06914743    
06 Jun 2020 14:21:41.637    06 Jun 2020 14:27:28.023      346.38666568    
06 Jun 2020 15:54:01.530    06 Jun 2020 16:05:55.299      713.76911933    
06 Jun 2020 17:29:15.543    06 Jun 2020 17:38:58.508      582.96553359    
07 Jun 2020 01:09:04.149    07 Jun 2020 01:13:59.577      295.42788140    
07 Jun 2020 02:39:09.818    07 Jun 2020 02:50:48.898      699.07984009    
07 Jun 2020 04:14:21.622    07 Jun 2020 04:25:04.422      642.80051381    
07 Jun 2020 14:15:55.696    07 Jun 2020 14:20:17.372      261.67595537    
07 Jun 2020 15:47:41.213    07 Jun 2020 15:59:29.699      708.48677050    
07 Jun 2020 17:22:46.899    07 Jun 2020 17:32:51.308      604.40924554    
08 Jun 2020 01:03:28.356    08 Jun 2020 01:07:05.940      217.58373356    
08 Jun 2020 02:32:54.606    08 Jun 2020 02:44:23.616      689.00983839    
08 Jun 2020 04:07:47.364    08 Jun 2020 04:18:48.053      660.68888552    
08 Jun 2020 14:10:39.310    08 Jun 2020 14:12:34.870      115.55940011    
08 Jun 2020 15:41:20.800    08 Jun 2020 15:53:02.108      701.30760946    
08 Jun 2020 17:16:18.305    08 Jun 2020 17:26:41.933      623.62742767    
09 Jun 2020 00:58:22.900    09 Jun 2020 00:59:41.395      78.494681488    
09 Jun 2020 02:26:39.942    09 Jun 2020 02:37:57.088      677.14603260    
09 Jun 2020 04:01:14.047    09 Jun 2020 04:12:30.036      675.98978259    
09 Jun 2020 15:35:00.345    09 Jun 2020 15:46:32.474      692.12933244    
09 Jun 2020 17:09:49.693    09 Jun 2020 17:20:30.463      640.77088132    
10 Jun 2020 02:20:25.868    10 Jun 2020 02:31:29.289      663.42087759    
10 Jun 2020 03:54:41.569    10 Jun 2020 04:06:10.474      688.90445869    
10 Jun 2020 15:28:39.910    10 Jun 2020 15:40:00.735      680.82549395    
10 Jun 2020 17:03:21.009    10 Jun 2020 17:14:16.964      655.95526700    
