Target: FINCH

Observer: TorontoGS
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jun 2020 01:45:33.458    01 Jun 2020 01:49:55.157      261.69864214    
01 Jun 2020 03:16:09.579    01 Jun 2020 03:25:14.866      545.28675140    
01 Jun 2020 14:45:15.853    01 Jun 2020 14:48:39.650      203.79711867    
01 Jun 2020 16:16:31.854    01 Jun 2020 16:25:32.572      540.71832133    
01 Jun 2020 17:52:29.493    01 Jun 2020 17:55:19.264      169.77079605    
02 Jun 2020 02:54:37.461    02 Jun 2020 03:03:32.068      534.60667203    
02 Jun 2020 04:30:02.266    02 Jun 2020 04:35:53.714      351.44812830    
02 Jun 2020 15:54:54.437    02 Jun 2020 16:03:48.217      533.78000903    
02 Jun 2020 17:29:31.762    02 Jun 2020 17:35:29.349      357.58679918    
03 Jun 2020 02:33:21.009    03 Jun 2020 02:41:38.422      497.41290689    
03 Jun 2020 04:07:15.135    03 Jun 2020 04:14:57.043      461.90729833    
03 Jun 2020 15:33:26.257    03 Jun 2020 15:41:43.949      497.69240899    
03 Jun 2020 17:07:14.421    03 Jun 2020 17:14:47.684      453.26276477    
04 Jun 2020 02:12:22.758    04 Jun 2020 02:19:31.611      428.85251194    
04 Jun 2020 03:44:56.864    04 Jun 2020 03:53:36.547      519.68265855    
04 Jun 2020 15:12:12.134    04 Jun 2020 15:19:14.809      422.67557904    
04 Jun 2020 16:45:11.401    04 Jun 2020 16:53:40.615      509.21388455    
05 Jun 2020 01:51:51.419    05 Jun 2020 01:57:03.219      311.79940106    
05 Jun 2020 03:22:57.872    05 Jun 2020 03:32:01.614      543.74208252    
05 Jun 2020 14:51:28.907    05 Jun 2020 14:56:03.649      274.74227927    
05 Jun 2020 16:23:17.470    05 Jun 2020 16:32:13.597      536.12659690    
06 Jun 2020 03:01:15.033    06 Jun 2020 03:10:15.332      540.29832889    
06 Jun 2020 04:37:11.054    06 Jun 2020 04:42:14.476      303.42166002    
06 Jun 2020 16:01:31.381    06 Jun 2020 16:10:28.012      536.63114870    
06 Jun 2020 17:36:25.208    06 Jun 2020 17:41:42.455      317.24724417    
07 Jun 2020 02:39:47.831    07 Jun 2020 02:48:18.304      510.47258541    
07 Jun 2020 04:14:04.603    07 Jun 2020 04:21:22.729      438.12626564    
07 Jun 2020 15:39:54.037    07 Jun 2020 15:48:22.990      508.95310059    
07 Jun 2020 17:13:54.645    07 Jun 2020 17:21:04.400      429.75548211    
08 Jun 2020 02:18:38.013    08 Jun 2020 02:26:08.980      450.96702310    
08 Jun 2020 03:51:33.338    08 Jun 2020 04:00:01.034      507.69505257    
08 Jun 2020 15:18:29.118    08 Jun 2020 15:25:54.750      445.63227156    
08 Jun 2020 16:51:41.931    08 Jun 2020 16:59:57.307      495.37569894    
09 Jun 2020 01:57:51.832    09 Jun 2020 02:03:41.387      349.55524479    
09 Jun 2020 03:29:23.217    09 Jun 2020 03:38:23.196      539.97887905    
09 Jun 2020 14:57:28.292    09 Jun 2020 15:02:51.365      323.07277112    
09 Jun 2020 16:29:39.344    09 Jun 2020 16:38:29.146      529.80199991    
10 Jun 2020 01:38:03.191    10 Jun 2020 01:40:21.959      138.76814630    
10 Jun 2020 03:07:29.975    10 Jun 2020 03:16:33.403      543.42820529    
10 Jun 2020 04:44:01.095    10 Jun 2020 04:48:05.617      244.52244847    
10 Jun 2020 16:07:44.853    10 Jun 2020 16:16:42.115      537.26274763    
10 Jun 2020 17:42:57.089    10 Jun 2020 17:47:28.562      271.47270242    
