DefaultSC.A1ModJulian,DefaultSC.EarthMJ2000Eq.X,DefaultSC.EarthMJ2000Eq.Y,DefaultSC.EarthMJ2000Eq.Z
29001.50042863868,-4462.721230983756,-5225.175216978551,0
29001.50112308312,-4497.72075409513,-5175.279757070764,454.415910411988
29001.50214686746,-4512.983786311625,-5060.028259551785,1120.080494902001
29001.50321598416,-4482.614930223348,-4887.773214540161,1803.595665539514
29001.50429049687,-4404.776719655422,-4663.059200675561,2471.459173400559
29001.505366135,-4280.216514319171,-4388.735787631874,3113.779477312856
29001.50644006324,-4110.671700650114,-4068.520287365326,3722.12429748681
29001.50751712959,-3897.150340255696,-3704.336244398014,4292.760978114642
29001.5079272717,-3804.86620164023,-3555.131012291969,4498.398215240678
29001.50803086521,-3780.628139645835,-3516.573041188314,4549.255721379263
29001.50814330028,-3753.902916788622,-3474.33501861105,4603.948636970424
29001.50825177264,-3727.7096474791,-3433.206210729664,4656.209864513725
29001.50858363115,-3645.105054793662,-3305.111026530532,4812.965084637423
29001.50955797013,-3381.788841674454,-2910.372523361508,5244.679092776776
29001.5106263574,-3059.627264015874,-2448.817279292241,5665.81166364884
29001.51170701279,-2701.579757609083,-1956.209627049557,6031.974783824996
29001.51279028461,-2314.0335273923,-1441.679086458522,6334.914182154663
29001.51387509557,-1901.384418974516,-911.1221560645263,6570.882048559455
29001.51496130936,-1468.019593987356,-370.2089504663988,6737.214536218767
29001.51604886435,-1018.533125172347,175.3020355992079,6832.020741097612
29001.51713770481,-557.6986929647339,719.5952749281523,6854.179722823633
29001.51822775225,-90.42981124070192,1256.847192525055,6803.352620348229
29001.51931891765,378.2784187983348,1781.296233866302,6679.991915846574
29001.52041108586,843.3973248676961,2287.299464045979,6485.343190325012
29001.52150415299,1299.93632474083,2769.413438749589,6221.429638634204
29001.52259799629,1742.985631731362,3222.44112309274,5891.036352767813
29001.52369251178,2167.7862511761,3641.506032820216,5497.670759153752
29001.52478757833,2569.768298257789,4022.091584883935,5045.534609243466
29001.52588309113,2944.61462116108,4360.104117011183,4539.466004135077
29001.52697895866,3288.305783637667,4651.914559289246,3984.8838337507
29001.5280751023,3597.16234787262,4894.395699334556,3387.725970037469
29001.52917142991,3867.877099917372,5084.949775355551,2754.398008643914
29001.53026790233,4097.566474784878,5221.547064982796,2091.664496124809
29001.53136446406,4283.781491743149,5302.73166601805,1406.613352432478
29001.53246109565,4424.543024737354,5327.641314117367,706.5479198305976
29001.53355774359,4518.351025967693,5296.011396509025,-1.047385852397227
29001.5346544004,4564.209504420192,5208.178197423345,-708.6375358165769
29001.53575104611,4561.628520464578,5065.072830303335,-1408.679241976004
29001.53684766187,4510.631153971193,4868.211860520773,-2093.708971807165
29001.53794422981,4411.75301607542,4619.68112019529,-2756.421300285249
29001.53904073556,4266.035995192075,4322.112841321111,-3389.74687467144
29001.54013713483,4075.023107555274,3978.668515594516,-3986.908239852537
29001.54123338438,3840.741076984961,3593.000193768619,-4541.51152910291
29001.54232942773,3565.682467067795,3169.217306945499,-5047.607947699402
29001.54342518601,3252.784364389001,2711.849157616876,-5499.756701228424
29001.54452059018,2905.389903324759,2225.784864047379,-5893.10006087867
29001.54561553643,2527.226864561745,1716.240764607057,-6223.401244586527
29001.54670992836,2122.35589393838,1188.686659986051,-6487.109965476098
29001.54780364711,1695.13722901885,648.8002695765629,-6681.395406600412
29001.5488965792,1250.173351930814,102.3917570176033,-6804.187646693674
29001.54953751641,982.718748415008,-218.9257536504721,-6842.408307880211
29001.54984171513,854.4567873679306,-371.2189700316083,-6851.733677374383
29001.54995692186,805.6906744983073,-428.8223218281501,-6853.78010784144
